product_id,product_name,category,brand,price,rating,price_category,rating_category
P000039,NeoTech A,Clothing,NeoTech,33.41,4.75,low,top_rated
P000040,Acme Night,Home & Kitchen,Acme,350.41,4.74,luxury,top_rated
P000041,Harbor Recent,Books,Harbor,94.35,2.87,high,average
P000042,NeoTech Power,Toys,NeoTech,36.95,4.49,medium,good
P000043,Acme Significant,Clothing,Acme,148.55,3.66,high,good
P000044,NeoTech Possible,Toys,NeoTech,53.51,2.7,medium,average
P000045,Nimbus Wrong,Automotive,Nimbus,36.34,4.81,medium,top_rated
P000046,Pulse Project,Pet Supplies,Pulse,19.09,4.52,low,top_rated
P000047,Acme Together,Beauty,Acme,94.71,3.71,high,good
P000048,NeoTech Major,Books,NeoTech,70.33,4.69,medium,top_rated
P000049,NeoTech Help,Home & Kitchen,NeoTech,12.72,4.6,low,top_rated
P000050,Everest Easy,Clothing,Everest,108.18,4.17,high,good
P000051,Zenith Economy,Electronics,Zenith,840.01,3.23,luxury,average
P000052,Nimbus To,Sports,Nimbus,138.89,3.17,high,average
P000053,Willow Item,Automotive,Willow,100.81,4.55,high,top_rated
P000054,GreenLeaf Hair,Automotive,GreenLeaf,435.87,4.04,luxury,good
P000055,Astra Our,Electronics,Astra,949.73,3.51,luxury,good
P000056,Astra One,Groceries,Astra,16.78,2.89,low,average
P000057,Zenith What,Beauty,Zenith,73.71,3.32,medium,average
P000058,Astra Power,Electronics,Astra,788.21,3.41,luxury,average
P000059,Orion Short,Clothing,Orion,176.48,3.98,high,good
P000060,Nimbus Interesting,Toys,Nimbus,81.57,2.56,medium,average
P000061,Astra Fly,Automotive,Astra,369.87,3.66,luxury,good
P000062,Willow Room,Pet Supplies,Willow,52.54,2.85,medium,average
P000063,Pulse Eight,Groceries,Pulse,18.77,3.33,low,average
P000064,NeoTech Commercial,Sports,NeoTech,151.03,3.98,high,good
P000065,Astra Community,Toys,Astra,32.09,4.26,low,good
P000066,GreenLeaf Spring,Books,GreenLeaf,42.89,4.69,medium,top_rated
P000067,Acme Their,Books,Acme,16.13,3.13,low,average
P000068,Acme Fire,Clothing,Acme,46.36,3.76,medium,good
P000069,Harbor Student,Pet Supplies,Harbor,106.99,3.09,high,average
P000070,Solace Other,Electronics,Solace,802.45,3.67,luxury,good
P000071,Willow Approach,Clothing,Willow,138.82,3.76,high,good
P000072,GreenLeaf West,Groceries,GreenLeaf,39.59,3.02,medium,average
P000073,Harbor Authority,Toys,Harbor,46.81,3.99,medium,good
P000074,Willow Week,Toys,Willow,40.24,4.52,medium,top_rated
P000075,Everest Look,Automotive,Everest,143.79,4.46,high,good
P000076,Nimbus Test,Beauty,Nimbus,137.88,3.47,high,average
P000077,Solace Particular,Toys,Solace,27.21,3.91,low,good
P000078,Willow Determine,Automotive,Willow,344.26,3.4,luxury,average
P000079,Orion However,Pet Supplies,Orion,71.29,3.22,medium,average
P000080,Acme Discuss,Pet Supplies,Acme,24.52,3.42,low,average
P000081,Zenith Great,Toys,Zenith,13.12,4.15,low,good
P000082,Acme Special,Groceries,Acme,2.92,4.56,low,top_rated
P000083,Harbor Spring,Toys,Harbor,126.24,4.2,high,good
P000084,Orion Firm,Groceries,Orion,4.51,4.44,low,good
P000085,Astra Make,Automotive,Astra,462.62,3.21,luxury,average
P000086,Orion And,Pet Supplies,Orion,5.54,4.63,low,top_rated
P000087,Pulse Fine,Home & Kitchen,Pulse,339.43,3.38,luxury,average
P000088,Everest As,Clothing,Everest,78.11,4.29,medium,good
P000089,Harbor Necessary,Sports,Harbor,43.43,3.55,medium,good
P000090,Pulse Arm,Groceries,Pulse,3.69,2.87,low,average
P000091,Orion Involve,Books,Orion,69.07,3.44,medium,average
P000092,Willow Economy,Beauty,Willow,177.95,3.31,high,average
P000093,NeoTech Peace,Sports,NeoTech,202.3,3.85,high,good
P000094,Solace Ten,Sports,Solace,41.49,3.6,medium,good
P000095,NeoTech Certainly,Clothing,NeoTech,121.02,4.88,high,top_rated
P000096,Orion Record,Pet Supplies,Orion,53.16,4.15,medium,good
P000097,Zenith Movie,Groceries,Zenith,31.94,4.65,low,top_rated
P000098,Nimbus Computer,Beauty,Nimbus,63.31,3.94,medium,good
P000099,GreenLeaf Effort,Groceries,GreenLeaf,24.6,4.26,low,good
P000100,Nimbus Night,Books,Nimbus,53.39,4.01,medium,good
P000101,Willow Cultural,Clothing,Willow,32.69,2.69,low,average
P000102,Pulse Surface,Groceries,Pulse,6.16,4.78,low,top_rated
P000103,Harbor Two,Books,Harbor,13.77,2.7,low,average
P000104,Solace Interesting,Beauty,Solace,40.38,2.97,medium,average
P000105,Acme Lead,Sports,Acme,146.49,3.91,high,good
P000106,Acme Sport,Toys,Acme,86.59,4.02,high,good
P000107,GreenLeaf Throughout,Books,GreenLeaf,118.51,2.85,high,average
P000108,Willow Fall,Pet Supplies,Willow,41.44,4.19,medium,good
P000109,Everest Interesting,Clothing,Everest,188.18,4.31,high,good
P000110,Zenith Coach,Clothing,Zenith,154.67,2.5,high,average
P000111,GreenLeaf Bar,Clothing,GreenLeaf,55.21,3.86,medium,good
P000112,Orion Surface,Sports,Orion,65.21,2.69,medium,average
P000113,Harbor Until,Clothing,Harbor,22.55,4.39,low,good
P000114,Zenith Create,Electronics,Zenith,805.15,4.14,luxury,good
P000115,Astra President,Books,Astra,28.99,4.24,low,good
P000116,Acme Stock,Home & Kitchen,Acme,128.31,2.95,high,average
P000117,Acme Pattern,Books,Acme,20.8,4.75,low,top_rated
P000118,NeoTech Professor,Groceries,NeoTech,13.13,2.81,low,average
P000119,Pulse Order,Clothing,Pulse,265.21,4.77,luxury,top_rated
P000120,Zenith White,Clothing,Zenith,176.19,2.8,high,average
P000121,Everest Food,Home & Kitchen,Everest,390.29,4.28,luxury,good
P000122,NeoTech Tell,Toys,NeoTech,10.62,4.29,low,good
P000123,Solace Everyone,Clothing,Solace,244.44,3.38,luxury,average
P000124,Everest Yes,Home & Kitchen,Everest,36.32,2.85,low,average
P000125,Orion Gas,Beauty,Orion,59.55,4.01,medium,good
P000126,Willow Arm,Sports,Willow,423.57,4.72,luxury,top_rated
P000127,Willow May,Home & Kitchen,Willow,255.94,3.44,luxury,average
P000128,Everest Smile,Clothing,Everest,55.25,4.74,medium,top_rated
P000129,Willow Woman,Beauty,Willow,138.5,4.55,high,top_rated
P000130,NeoTech Onto,Clothing,NeoTech,152.63,2.78,high,average
P000131,NeoTech Everybody,Automotive,NeoTech,329.14,4.29,luxury,good
P000132,Willow Recently,Clothing,Willow,135.87,2.56,high,average
P000133,Solace Team,Pet Supplies,Solace,25.97,4.21,low,good
P000134,Orion Such,Automotive,Orion,495.76,4.06,luxury,good
P000135,NeoTech Society,Sports,NeoTech,49.41,3.85,medium,good
P000136,Zenith Phone,Electronics,Zenith,2169.98,4.38,luxury,good
P000137,Willow Such,Automotive,Willow,441.37,2.59,luxury,average
P000138,Pulse True,Home & Kitchen,Pulse,57.52,4.06,medium,good
P000139,Harbor Able,Home & Kitchen,Harbor,335.61,4.21,luxury,good
P000140,NeoTech Center,Pet Supplies,NeoTech,20.93,3.78,low,good
P000141,Harbor Since,Automotive,Harbor,332.57,3.41,luxury,average
P000142,Zenith Way,Clothing,Zenith,205.73,4.65,high,top_rated
P000143,Astra Pressure,Home & Kitchen,Astra,96.76,2.52,high,average
P000144,GreenLeaf Interview,Automotive,GreenLeaf,224.43,4.2,luxury,good
P000145,Willow Him,Home & Kitchen,Willow,219.69,4.77,luxury,top_rated
P000146,Astra Policy,Toys,Astra,15.85,2.53,low,average
P000147,NeoTech Beat,Toys,NeoTech,52.33,4.29,medium,good
P000148,GreenLeaf Medical,Toys,GreenLeaf,68.12,2.9,medium,average
P000149,Nimbus Where,Automotive,Nimbus,323.14,4.5,luxury,top_rated
P000150,Pulse Kitchen,Clothing,Pulse,70.84,2.59,medium,average
P000151,Solace Be,Groceries,Solace,23.37,3.53,low,good
P000152,Zenith Soon,Sports,Zenith,299.66,4.64,luxury,top_rated
P000153,Pulse Care,Automotive,Pulse,147.47,2.6,high,average
P000154,Harbor Bill,Toys,Harbor,32.06,4.21,low,good
P000155,Harbor Firm,Books,Harbor,12.17,3.07,low,average
P000156,Harbor Difference,Books,Harbor,51.52,4.34,medium,good
P000157,GreenLeaf Ask,Beauty,GreenLeaf,195.21,4.02,high,good
P000158,Zenith Accept,Sports,Zenith,314.58,4.02,luxury,good
P000159,Nimbus Stock,Sports,Nimbus,146.05,2.61,high,average
P000160,Acme Cold,Electronics,Acme,259.69,2.73,luxury,average
P000161,NeoTech Weight,Electronics,NeoTech,701.36,3.42,luxury,average
P000162,Orion Most,Clothing,Orion,151.39,3.99,high,good
P000163,GreenLeaf Simply,Beauty,GreenLeaf,31.44,3.84,low,good
P000164,Astra Town,Books,Astra,60.85,2.81,medium,average
P000165,Solace Difference,Electronics,Solace,295.27,3.85,luxury,good
P000166,Harbor Significant,Toys,Harbor,103.35,3.12,high,average
P000167,Pulse Answer,Sports,Pulse,28.53,4.4,low,good
P000168,Nimbus If,Sports,Nimbus,298.04,3.97,luxury,good
P000169,Acme Production,Books,Acme,21.36,3.9,low,good
P000170,NeoTech Imagine,Toys,NeoTech,20.19,3.57,low,good
P000171,Astra Protect,Toys,Astra,47.33,3.24,medium,average
P000172,Harbor Natural,Home & Kitchen,Harbor,53.8,2.53,medium,average
P000173,Harbor Itself,Clothing,Harbor,30.32,4.4,low,good
P000174,Zenith Run,Electronics,Zenith,960.74,3.09,luxury,average
P000175,GreenLeaf Company,Automotive,GreenLeaf,22.44,3.04,low,average
P000176,Orion Rock,Toys,Orion,111.48,4.8,high,top_rated
P000177,Astra Visit,Beauty,Astra,17.35,3.52,low,good
P000178,Solace Easy,Beauty,Solace,145.19,4.74,high,top_rated
P000179,NeoTech Movement,Home & Kitchen,NeoTech,172.42,3.28,high,average
P000180,Orion Upon,Home & Kitchen,Orion,400.2,3.42,luxury,average
P000181,Willow Box,Automotive,Willow,763.34,2.71,luxury,average
P000182,Acme Cause,Books,Acme,9.27,2.83,low,average
P000183,Orion Like,Groceries,Orion,3.37,4.26,low,good
P000184,Astra Maintain,Toys,Astra,21.38,4.49,low,good
P000185,Orion Guy,Toys,Orion,69.64,2.77,medium,average
P000186,NeoTech Not,Electronics,NeoTech,231.15,3.7,luxury,good
P000187,Harbor For,Sports,Harbor,134.5,4.84,high,top_rated
P000188,Zenith Direction,Pet Supplies,Zenith,12.4,2.69,low,average
P000189,Astra Agree,Pet Supplies,Astra,4.19,3.15,low,average
P000190,Solace With,Pet Supplies,Solace,34.94,3.25,low,average
P000191,GreenLeaf Produce,Toys,GreenLeaf,47.14,3.64,medium,good
P000192,Pulse Near,Electronics,Pulse,455.43,4.88,luxury,top_rated
P000193,Everest Nearly,Automotive,Everest,794.73,4.21,luxury,good
P000194,Nimbus Consider,Toys,Nimbus,59.65,4.83,medium,top_rated
P000195,Willow Study,Clothing,Willow,72.69,3.64,medium,good
P000196,Willow Expert,Beauty,Willow,11.83,3.38,low,average
P000197,Astra Brother,Pet Supplies,Astra,20.84,4.47,low,good
P000198,Orion Face,Electronics,Orion,1352.63,4.66,luxury,top_rated
P000199,Zenith While,Groceries,Zenith,10.35,4.19,low,good
P000200,Zenith Story,Groceries,Zenith,13.85,3.37,low,average
P000201,Willow Something,Toys,Willow,23.76,4.6,low,top_rated
P000202,Harbor Body,Groceries,Harbor,26.28,3.51,low,good
P000203,Everest Drop,Groceries,Everest,31.08,4.1,low,good
P000204,Orion Last,Pet Supplies,Orion,112.83,2.77,high,average
P000205,Pulse The,Toys,Pulse,68.81,3.51,medium,good
P000206,Orion Pm,Automotive,Orion,202.11,4.47,high,good
P000207,GreenLeaf Painting,Clothing,GreenLeaf,227.28,3.4,luxury,average
P000208,Solace Move,Automotive,Solace,826.18,2.71,luxury,average
P000209,Zenith Within,Clothing,Zenith,144.55,3.2,high,average
P000210,Nimbus Little,Toys,Nimbus,253.94,4.19,luxury,good
P000211,Acme Performance,Toys,Acme,104.68,4.68,high,top_rated
P000212,Acme Air,Electronics,Acme,246.31,3.44,luxury,average
P000213,NeoTech Reason,Pet Supplies,NeoTech,22.25,3.05,low,average
P000214,Everest Even,Home & Kitchen,Everest,191.69,2.53,high,average
P000215,Orion High,Pet Supplies,Orion,34.28,3.08,low,average
P000216,Pulse Serious,Sports,Pulse,295.05,4.86,luxury,top_rated
P000217,Zenith Follow,Clothing,Zenith,101.57,3.68,high,good
P000218,Harbor Last,Electronics,Harbor,234.99,2.93,luxury,average
P000219,NeoTech Film,Pet Supplies,NeoTech,82.2,2.96,medium,average
P000220,Everest Team,Electronics,Everest,184.85,3.14,high,average
P000221,Nimbus Customer,Groceries,Nimbus,22.47,4.15,low,good
P000222,Harbor Miss,Beauty,Harbor,21.85,3.26,low,average
P000223,Solace Six,Clothing,Solace,56.92,3.95,medium,good
P000224,Astra Else,Automotive,Astra,88.96,2.52,high,average
P000225,GreenLeaf Newspaper,Electronics,GreenLeaf,527.87,3.96,luxury,good
P000226,Solace School,Clothing,Solace,118.33,2.8,high,average
P000227,Solace Risk,Home & Kitchen,Solace,238.61,3.47,luxury,average
P000228,Everest Tv,Automotive,Everest,253.79,3.25,luxury,average
P000229,Acme Run,Pet Supplies,Acme,5.59,2.52,low,average
P000230,Astra Well,Clothing,Astra,174.94,2.63,high,average
P000231,Zenith Behavior,Electronics,Zenith,178.96,3.27,high,average
P000232,Solace Interview,Home & Kitchen,Solace,180.7,4.25,high,good
P000233,Zenith Might,Sports,Zenith,173.94,2.64,high,average
P000234,NeoTech Fear,Electronics,NeoTech,375.37,3.59,luxury,good
P000235,Everest Minute,Home & Kitchen,Everest,628.13,4.15,luxury,good
P000236,NeoTech Process,Pet Supplies,NeoTech,42.76,2.78,medium,average
P000237,Zenith Thus,Automotive,Zenith,191.89,2.97,high,average
P000238,Harbor Follow,Sports,Harbor,168.05,3.88,high,good
P000239,Zenith Commercial,Sports,Zenith,180.4,2.91,high,average
P000240,Astra Model,Sports,Astra,13.49,2.91,low,average
P000241,Orion Idea,Clothing,Orion,148.45,4.55,high,top_rated
P000242,Astra Number,Pet Supplies,Astra,51.96,2.9,medium,average
P000243,Zenith Hope,Home & Kitchen,Zenith,159.88,3.22,high,average
P000244,Everest Sell,Books,Everest,69.29,4.08,medium,good
P000245,Astra Get,Home & Kitchen,Astra,221.48,4.61,luxury,top_rated
P000246,Willow Because,Automotive,Willow,216.58,3.89,luxury,good
P000247,Solace Finish,Books,Solace,10.2,3.76,low,good
P000248,Solace Street,Beauty,Solace,40.54,2.51,medium,average
P000249,NeoTech Husband,Books,NeoTech,64.76,2.84,medium,average
P000250,Harbor Seek,Sports,Harbor,162.91,3.13,high,average
P000251,Solace Bill,Beauty,Solace,64.82,2.71,medium,average
P000252,NeoTech Class,Pet Supplies,NeoTech,46.59,3.35,medium,average
P000253,Harbor Reduce,Groceries,Harbor,46.4,3.4,medium,average
P000254,Everest Simple,Pet Supplies,Everest,109.05,2.7,high,average
P000255,NeoTech Well,Beauty,NeoTech,71.91,4.18,medium,good
P000256,Orion Treat,Automotive,Orion,664.92,4.0,luxury,good
P000257,Zenith Film,Sports,Zenith,220.65,3.22,luxury,average
P000258,Orion Trouble,Groceries,Orion,11.34,4.46,low,good
P000259,Orion Financial,Sports,Orion,166.86,4.42,high,good
P000260,Harbor System,Groceries,Harbor,24.11,4.68,low,top_rated
P000261,Orion Indicate,Books,Orion,54.65,2.65,medium,average
P000262,Astra Hear,Home & Kitchen,Astra,186.4,3.66,high,good
P000263,Solace Most,Groceries,Solace,12.76,3.47,low,average
P000264,Acme Account,Electronics,Acme,1006.47,3.07,luxury,average
P000265,GreenLeaf Move,Home & Kitchen,GreenLeaf,163.19,4.52,high,top_rated
P000266,Astra Success,Home & Kitchen,Astra,45.35,3.54,medium,good
P000267,Nimbus Lawyer,Automotive,Nimbus,696.74,3.32,luxury,average
P000268,Willow Officer,Automotive,Willow,253.41,4.6,luxury,top_rated
P000269,Zenith Clear,Pet Supplies,Zenith,74.5,3.44,medium,average
P000270,Zenith Break,Books,Zenith,44.29,4.64,medium,top_rated
P000271,Willow Include,Pet Supplies,Willow,117.63,3.29,high,average
P000272,Nimbus Process,Electronics,Nimbus,570.1,4.73,luxury,top_rated
P000273,Willow Seem,Automotive,Willow,913.33,2.55,luxury,average
P000274,Acme Break,Electronics,Acme,1197.44,3.53,luxury,good
P000275,Everest Customer,Toys,Everest,36.36,3.05,medium,average
P000276,Solace Travel,Automotive,Solace,297.47,4.64,luxury,top_rated
P000277,Orion Their,Beauty,Orion,43.39,3.03,medium,average
P000278,Astra Goal,Beauty,Astra,37.69,3.99,medium,good
P000279,Zenith World,Beauty,Zenith,114.56,4.18,high,good
P000280,Zenith Cold,Groceries,Zenith,23.41,3.42,low,average
P000281,Acme Stuff,Groceries,Acme,28.99,3.31,low,average
P000282,Solace Represent,Beauty,Solace,154.03,4.79,high,top_rated
P000283,Everest Image,Beauty,Everest,42.47,4.42,medium,good
P000284,Zenith Then,Beauty,Zenith,7.78,2.53,low,average
P000285,Solace Foot,Beauty,Solace,12.79,3.48,low,average
P000286,Zenith Church,Pet Supplies,Zenith,39.15,2.85,medium,average
P000287,NeoTech Vote,Pet Supplies,NeoTech,69.34,3.12,medium,average
P000288,Acme He,Beauty,Acme,106.67,3.28,high,average
P000289,NeoTech Position,Books,NeoTech,68.32,4.84,medium,top_rated
P000290,Acme Board,Pet Supplies,Acme,44.33,3.9,medium,good
P000291,Nimbus Goal,Books,Nimbus,50.3,4.89,medium,top_rated
P000292,GreenLeaf Who,Automotive,GreenLeaf,203.3,3.2,high,average
P000293,Astra Season,Sports,Astra,122.71,3.34,high,average
P000294,Zenith Recently,Automotive,Zenith,543.31,3.48,luxury,average
P000295,NeoTech What,Pet Supplies,NeoTech,84.97,4.66,high,top_rated
P000296,Acme Figure,Groceries,Acme,21.18,2.68,low,average
P000297,Everest Deep,Automotive,Everest,902.48,3.98,luxury,good
P000298,Zenith Deal,Electronics,Zenith,1238.93,4.34,luxury,good
P000299,Zenith Partner,Automotive,Zenith,291.45,3.06,luxury,average
P000300,Astra May,Groceries,Astra,26.88,4.77,low,top_rated
P000301,Harbor Ever,Sports,Harbor,31.57,4.7,low,top_rated
P000302,Zenith Together,Pet Supplies,Zenith,47.73,4.42,medium,good
P000303,Willow Note,Electronics,Willow,1535.55,4.2,luxury,good
P000304,Willow Site,Clothing,Willow,120.82,2.68,high,average
P000305,Everest Scientist,Home & Kitchen,Everest,295.31,3.75,luxury,good
P000306,Everest Air,Sports,Everest,199.78,2.86,high,average
P000307,GreenLeaf Note,Home & Kitchen,GreenLeaf,354.49,4.2,luxury,good
P000308,Harbor Score,Electronics,Harbor,930.47,4.1,luxury,good
P000309,NeoTech Second,Groceries,NeoTech,10.7,4.09,low,good
P000310,Orion Side,Clothing,Orion,67.11,3.06,medium,average
P000311,Pulse Money,Beauty,Pulse,110.72,4.69,high,top_rated
P000312,Willow Let,Beauty,Willow,84.79,3.97,high,good
P000313,Orion Tonight,Books,Orion,70.39,3.74,medium,good
P000314,Everest According,Books,Everest,79.29,4.76,medium,top_rated
P000315,Acme Room,Electronics,Acme,1620.72,4.3,luxury,good
P000316,NeoTech Also,Toys,NeoTech,72.21,3.8,medium,good
P000317,Zenith International,Home & Kitchen,Zenith,101.71,3.13,high,average
P000318,Willow Position,Pet Supplies,Willow,91.92,4.25,high,good
P000319,Everest Baby,Books,Everest,40.58,4.01,medium,good
P000320,Zenith Religious,Clothing,Zenith,47.88,2.64,medium,average
P000321,Pulse Month,Groceries,Pulse,8.99,3.67,low,good
P000322,Astra Explain,Groceries,Astra,32.16,2.81,low,average
P000323,Orion Speech,Electronics,Orion,694.32,4.6,luxury,top_rated
P000324,Harbor Visit,Toys,Harbor,60.11,3.2,medium,average
P000325,Solace Down,Sports,Solace,114.24,4.22,high,good
P000326,Acme Financial,Groceries,Acme,2.75,4.0,low,good
P000327,Orion Television,Pet Supplies,Orion,98.15,3.38,high,average
P000328,Pulse Group,Toys,Pulse,26.74,4.05,low,good
P000329,Astra Support,Toys,Astra,106.81,3.02,high,average
P000330,Orion Begin,Pet Supplies,Orion,37.03,4.32,medium,good
P000331,Everest Million,Sports,Everest,112.6,4.02,high,good
P000332,GreenLeaf Painting,Beauty,GreenLeaf,33.02,4.55,low,top_rated
P000333,GreenLeaf Reflect,Books,GreenLeaf,32.42,2.97,low,average
P000334,Pulse Something,Pet Supplies,Pulse,84.07,4.19,medium,good
P000335,NeoTech Cost,Beauty,NeoTech,93.49,3.81,high,good
P000336,Acme Outside,Clothing,Acme,121.89,4.21,high,good
P000337,Zenith Item,Books,Zenith,23.28,4.87,low,top_rated
P000338,Everest Nor,Books,Everest,16.48,2.61,low,average
P000339,Nimbus Memory,Pet Supplies,Nimbus,93.07,2.71,high,average
P000340,Zenith Life,Groceries,Zenith,20.74,2.7,low,average
P000341,Pulse Serious,Sports,Pulse,53.26,3.26,medium,average
P000342,Nimbus Cell,Sports,Nimbus,90.57,4.49,high,good
P000343,Acme Others,Home & Kitchen,Acme,75.19,4.82,medium,top_rated
P000344,GreenLeaf At,Automotive,GreenLeaf,145.72,3.91,high,good
P000345,Solace Official,Books,Solace,62.17,2.74,medium,average
P000346,Pulse Third,Books,Pulse,51.61,4.24,medium,good
P000347,Astra Significant,Pet Supplies,Astra,19.77,3.89,low,good
P000348,Acme Vote,Pet Supplies,Acme,47.14,4.39,medium,good
P000349,Zenith Need,Electronics,Zenith,474.22,3.07,luxury,average
P000350,Harbor Financial,Sports,Harbor,241.98,4.69,luxury,top_rated
P000351,Willow Event,Toys,Willow,84.8,3.52,high,good
P000352,Everest Daughter,Toys,Everest,112.71,3.97,high,good
P000353,Zenith Thought,Toys,Zenith,83.19,4.47,medium,good
P000354,Pulse Letter,Electronics,Pulse,1387.39,4.43,luxury,good
P000355,Orion Whatever,Electronics,Orion,577.93,4.02,luxury,good
P000356,Willow If,Pet Supplies,Willow,67.94,2.69,medium,average
P000357,Astra Hundred,Electronics,Astra,1423.47,3.6,luxury,good
P000358,Solace Something,Electronics,Solace,1001.67,4.03,luxury,good
P000359,Zenith Citizen,Pet Supplies,Zenith,31.35,4.83,low,top_rated
P000360,Nimbus Main,Pet Supplies,Nimbus,59.31,4.45,medium,good
P000361,Harbor Man,Clothing,Harbor,168.32,2.69,high,average
P000362,Zenith Check,Toys,Zenith,104.09,4.75,high,top_rated
P000363,GreenLeaf Team,Beauty,GreenLeaf,61.12,4.08,medium,good
P000364,Pulse Mr,Beauty,Pulse,41.57,3.61,medium,good
P000365,NeoTech In,Toys,NeoTech,98.81,3.78,high,good
P000366,NeoTech Fill,Home & Kitchen,NeoTech,242.13,3.23,luxury,average
P000367,Willow West,Books,Willow,38.32,3.68,medium,good
P000368,Harbor Several,Sports,Harbor,257.21,4.37,luxury,good
P000369,Everest Against,Toys,Everest,15.41,3.26,low,average
P000370,Everest Property,Automotive,Everest,201.91,3.3,high,average
P000371,NeoTech Stand,Groceries,NeoTech,19.06,4.9,low,top_rated
P000372,Solace Particular,Pet Supplies,Solace,100.33,4.07,high,good
P000373,Everest Difference,Automotive,Everest,390.56,4.65,luxury,top_rated
P000374,Solace The,Sports,Solace,377.51,4.71,luxury,top_rated
P000375,Nimbus Choice,Home & Kitchen,Nimbus,21.73,3.12,low,average
P000376,Zenith Color,Automotive,Zenith,549.81,2.6,luxury,average
P000377,GreenLeaf Eat,Toys,GreenLeaf,95.77,3.38,high,average
P000378,Orion Foot,Books,Orion,9.11,3.21,low,average
P000379,Astra Present,Groceries,Astra,12.81,3.2,low,average
P000380,Solace Social,Home & Kitchen,Solace,148.33,2.57,high,average
P000381,Solace Chance,Sports,Solace,177.64,2.87,high,average
P000382,Astra Understand,Automotive,Astra,466.25,3.04,luxury,average
P000383,Nimbus Knowledge,Sports,Nimbus,26.27,4.47,low,good
P000384,Nimbus Take,Automotive,Nimbus,596.56,2.69,luxury,average
P000385,Willow Mouth,Electronics,Willow,756.87,3.96,luxury,good
P000386,Pulse Born,Automotive,Pulse,495.1,3.61,luxury,good
P000387,Acme Store,Automotive,Acme,435.72,3.9,luxury,good
P000388,GreenLeaf Discover,Clothing,GreenLeaf,252.09,2.92,luxury,average
P000389,Willow Charge,Automotive,Willow,460.66,4.77,luxury,top_rated
P000390,Acme Coach,Groceries,Acme,24.1,3.79,low,good
P000391,Nimbus Establish,Home & Kitchen,Nimbus,74.41,2.87,medium,average
P000392,Nimbus Subject,Home & Kitchen,Nimbus,387.23,3.15,luxury,average
P000393,Willow Behind,Beauty,Willow,79.35,2.51,medium,average
P000394,Acme Boy,Toys,Acme,113.67,3.4,high,average
P000395,Harbor Opportunity,Books,Harbor,56.04,3.65,medium,good
P000396,Willow Result,Pet Supplies,Willow,6.95,2.63,low,average
P000397,Pulse Receive,Books,Pulse,5.67,3.92,low,good
P000398,Nimbus Mr,Pet Supplies,Nimbus,108.65,4.59,high,top_rated
P000399,Astra Reveal,Books,Astra,37.4,4.29,medium,good
P000400,Orion Thus,Electronics,Orion,423.67,2.58,luxury,average
