day,hour,conversion_count,visitor_count,conversion_rate
Wednesday,12,30,592,0.05067567567567568
Wednesday,13,34,518,0.06563706563706563
Wednesday,14,34,551,0.06170598911070781
Wednesday,15,30,602,0.04983388704318937
Wednesday,16,34,601,0.056572379367720464
Wednesday,17,30,570,0.05263157894736842
Wednesday,18,29,553,0.05244122965641953
Wednesday,19,14,532,0.02631578947368421
Wednesday,20,25,559,0.044722719141323794
Wednesday,21,23,528,0.043560606060606064
Wednesday,22,16,577,0.02772963604852686
Wednesday,23,30,560,0.05357142857142857
Thursday,0,36,610,0.05901639344262295
Thursday,1,28,518,0.05405405405405406
Thursday,2,33,615,0.05365853658536585
Thursday,3,22,555,0.03963963963963964
Thursday,4,25,559,0.044722719141323794
Thursday,5,27,571,0.047285464098073555
Thursday,6,34,541,0.06284658040665435
Thursday,7,23,548,0.041970802919708027
Thursday,8,27,582,0.04639175257731959
Thursday,9,13,583,0.022298456260720412
Thursday,10,28,627,0.044657097288676235
Thursday,11,27,548,0.04927007299270073
Thursday,12,22,587,0.03747870528109029
Thursday,13,24,580,0.041379310344827586
Thursday,14,22,608,0.03618421052631579
Thursday,15,29,600,0.04833333333333333
Thursday,16,17,564,0.030141843971631204
Thursday,17,20,510,0.0392156862745098
Thursday,18,38,563,0.0674955595026643
Thursday,19,32,576,0.05555555555555555
Thursday,20,31,590,0.05254237288135593
Thursday,21,42,553,0.0759493670886076
Thursday,22,36,640,0.05625
Thursday,23,23,580,0.039655172413793106
Friday,0,41,633,0.06477093206951026
Friday,1,35,530,0.0660377358490566
Friday,2,26,500,0.052
Friday,3,41,576,0.07118055555555555
Friday,4,22,575,0.03826086956521739
Friday,5,9,510,0.01764705882352941
Friday,6,31,573,0.05410122164048865
Friday,7,33,585,0.05641025641025641
Friday,8,22,605,0.03636363636363636
Friday,9,23,587,0.039182282793867124
Friday,10,27,610,0.04426229508196721
Friday,11,19,531,0.035781544256120526
Friday,12,22,548,0.040145985401459854
Friday,13,42,541,0.07763401109057301
Friday,14,21,596,0.03523489932885906
Friday,15,44,565,0.07787610619469026
Friday,16,21,570,0.03684210526315789
Friday,17,26,557,0.0466786355475763
Friday,18,36,570,0.06315789473684211
Friday,19,28,614,0.04560260586319218
Friday,20,32,655,0.04885496183206107
Friday,21,40,570,0.07017543859649122
Friday,22,21,504,0.041666666666666664
Friday,23,25,575,0.043478260869565216
Saturday,0,29,512,0.056640625
Saturday,1,33,515,0.06407766990291262
Saturday,2,30,537,0.055865921787709494
Saturday,3,49,591,0.0829103214890017
Saturday,4,34,589,0.057724957555178265
Saturday,5,12,489,0.024539877300613498
Saturday,6,21,521,0.04030710172744722
Saturday,7,14,548,0.025547445255474453
Saturday,8,11,579,0.018998272884283247
Saturday,9,24,573,0.041884816753926704
Saturday,10,24,573,0.041884816753926704
Saturday,11,30,588,0.05102040816326531
Saturday,12,23,603,0.03814262023217247
Saturday,13,30,621,0.04830917874396135
Saturday,14,24,509,0.047151277013752456
Saturday,15,21,517,0.04061895551257253
Saturday,16,14,614,0.02280130293159609
Saturday,17,32,535,0.059813084112149535
Saturday,18,38,596,0.06375838926174497
Saturday,19,26,549,0.04735883424408015
Saturday,20,26,597,0.04355108877721943
Saturday,21,34,616,0.05519480519480519
Saturday,22,46,578,0.07958477508650519
Saturday,23,30,560,0.05357142857142857
Sunday,0,14,580,0.02413793103448276
Sunday,1,47,600,0.07833333333333334
Sunday,2,19,585,0.03247863247863248
Sunday,3,12,509,0.023575638506876228
Sunday,4,41,643,0.06376360808709176
Sunday,5,43,559,0.07692307692307693
Sunday,6,20,633,0.0315955766192733
Sunday,7,27,607,0.044481054365733116
Sunday,8,36,573,0.06282722513089005
Sunday,9,39,615,0.06341463414634146
Sunday,10,21,551,0.038112522686025406
Sunday,11,18,559,0.03220035778175313
Sunday,12,34,555,0.06126126126126126
Sunday,13,13,540,0.024074074074074074
Sunday,14,24,565,0.04247787610619469
Sunday,15,39,550,0.07090909090909091
Sunday,16,37,567,0.06525573192239859
Sunday,17,41,619,0.06623586429725363
Sunday,18,25,557,0.04488330341113106
Sunday,19,27,546,0.04945054945054945
Sunday,20,46,610,0.07540983606557378
Sunday,21,16,539,0.029684601113172542
Sunday,22,30,596,0.050335570469798654
Sunday,23,29,548,0.05291970802919708
