order_id,user_id,order_date,order_status,total_amount,order_Month,order_Day,cohort,order_period,cohort_index,customer_segment,buyer_type
O00000038,U004419,2025-06-30 05:15:33.265938,shipped,1797.9,June,Monday,2024-02,2025-06,16,B2B (High Value),Überlegender Käufer
O00000039,U005127,2024-11-09 01:20:49.223031,shipped,2803.64,November,Saturday,2024-11,2024-11,0,B2B (High Value),Überlegender Käufer
O00000041,U000891,2024-02-12 19:23:23.731212,processing,67.1,February,Monday,2024-02,2024-02,0,B2C (Regular),Gast_Bestellung
O00000042,U007175,2025-05-05 12:29:18.506335,shipped,274.27,May,Monday,2025-05,2025-05,0,B2C (Regular),Überlegender Käufer
O00000044,U008621,2025-11-06 10:56:40.562956,shipped,158.28,November,Thursday,2024-01,2025-11,22,B2C (Regular),Überlegender Käufer
O00000045,U003734,2024-03-31 19:14:31.354492,shipped,124.94,March,Sunday,2024-03,2024-03,0,B2C (Regular),Überlegender Käufer
O00000046,U007376,2024-02-09 11:42:31.042546,processing,489.21,February,Friday,2024-02,2024-02,0,B2C (Regular),Gast_Bestellung
O00000049,U000067,2024-06-06 06:24:36.744927,processing,217.17,June,Thursday,2024-06,2024-06,0,B2C (Regular),Gast_Bestellung
O00000050,U008607,2024-09-21 00:41:15.550669,processing,225.99,September,Saturday,2024-09,2024-09,0,B2C (Regular),Überlegender Käufer
O00000052,U006522,2024-09-13 23:23:40.280154,processing,834.66,September,Friday,2024-01,2024-09,8,B2C (Regular),Gast_Bestellung
O00000055,U005524,2024-10-07 17:26:47.586369,processing,188.7,October,Monday,2024-10,2024-10,0,B2C (Regular),Gast_Bestellung
O00000058,U002279,2024-09-16 16:27:35.475362,shipped,31.39,September,Monday,2024-02,2024-09,7,B2C (Regular),Gast_Bestellung
O00000059,U004843,2024-03-27 22:03:32.179396,processing,93.94,March,Wednesday,2024-03,2024-03,0,B2C (Regular),Gast_Bestellung
O00000060,U004239,2025-05-18 12:26:50.081962,processing,24.35,May,Sunday,2025-05,2025-05,0,B2C (Regular),Überlegender Käufer
O00000061,U003431,2025-08-30 23:24:52.555376,processing,1058.07,August,Saturday,2024-03,2025-08,17,B2C (Regular),Überlegender Käufer
O00000062,U009887,2024-09-28 22:07:38.713420,shipped,1592.0,September,Saturday,2024-02,2024-09,7,B2C (Regular),Gast_Bestellung
O00000063,U001271,2024-02-24 19:27:27.788267,completed,1087.18,February,Saturday,2024-02,2024-02,0,B2C (Regular),Überlegender Käufer
O00000067,U001740,2024-04-06 15:52:23.904834,completed,197.83,April,Saturday,2024-04,2024-04,0,B2C (Regular),Gast_Bestellung
O00000068,U005875,2024-02-10 22:08:32.431325,completed,403.18,February,Saturday,2024-02,2024-02,0,B2C (Regular),Gast_Bestellung
O00000069,U007490,2025-03-22 23:03:28.498989,processing,2659.83,March,Saturday,2025-03,2025-03,0,B2B (High Value),Überlegender Käufer
O00000071,U008449,2025-05-26 23:44:41.739837,completed,222.12,May,Monday,2024-01,2025-05,16,B2C (Regular),Überlegender Käufer
O00000072,U007276,2024-03-13 13:49:45.348773,shipped,586.48,March,Wednesday,2024-03,2024-03,0,B2C (Regular),Gast_Bestellung
O00000074,U001053,2024-10-10 10:10:23.025728,shipped,52.93,October,Thursday,2024-10,2024-10,0,B2C (Regular),Gast_Bestellung
O00000075,U003631,2025-04-14 15:40:35.089192,processing,420.44,April,Monday,2024-11,2025-04,5,B2C (Regular),Gast_Bestellung
O00000076,U006851,2025-08-15 00:34:10.086751,completed,357.16,August,Friday,2025-07,2025-08,1,B2C (Regular),Gast_Bestellung
O00000078,U005863,2025-03-31 20:24:31.152145,shipped,186.4,March,Monday,2024-02,2025-03,13,B2C (Regular),Gast_Bestellung
O00000079,U008184,2025-06-21 13:36:12.193737,shipped,1266.95,June,Saturday,2024-09,2025-06,9,B2C (Regular),Überlegender Käufer
O00000080,U007964,2025-05-12 17:07:08.645210,completed,383.26,May,Monday,2025-05,2025-05,0,B2C (Regular),Überlegender Käufer
O00000081,U000280,2024-04-19 23:38:20.300092,processing,777.99,April,Friday,2024-04,2024-04,0,B2C (Regular),Gast_Bestellung
O00000082,U002630,2024-07-17 14:13:08.769714,completed,1206.21,July,Wednesday,2024-01,2024-07,6,B2C (Regular),Gast_Bestellung
O00000083,U004873,2024-10-10 03:29:56.568315,processing,25.52,October,Thursday,2024-10,2024-10,0,B2C (Regular),Gast_Bestellung
O00000084,U004193,2025-05-29 01:07:55.910744,shipped,77.27,May,Thursday,2025-05,2025-05,0,B2C (Regular),Überlegender Käufer
O00000085,U009453,2024-12-10 13:32:48.943111,processing,661.52,December,Tuesday,2024-11,2024-12,1,B2C (Regular),Gast_Bestellung
O00000086,U004906,2025-04-14 17:21:35.501991,processing,281.05,April,Monday,2024-12,2025-04,4,B2C (Regular),Überlegender Käufer
O00000091,U006570,2024-01-23 19:27:57.908912,completed,1707.41,January,Tuesday,2024-01,2024-01,0,B2C (Regular),Gast_Bestellung
O00000093,U002932,2024-04-13 04:02:02.471458,completed,95.4,April,Saturday,2024-03,2024-04,1,B2C (Regular),Gast_Bestellung
O00000095,U002227,2025-10-24 13:48:18.644697,processing,52.87,October,Friday,2024-02,2025-10,20,B2C (Regular),Überlegender Käufer
O00000096,U002173,2024-07-28 13:12:40.750905,shipped,178.96,July,Sunday,2024-07,2024-07,0,B2C (Regular),Überlegender Käufer
O00000097,U002710,2024-11-29 11:23:36.772097,processing,100.3,November,Friday,2024-03,2024-11,8,B2C (Regular),Überlegender Käufer
O00000099,U006836,2025-06-03 06:26:34.186138,completed,256.9,June,Tuesday,2024-07,2025-06,11,B2C (Regular),Gast_Bestellung
O00000101,U009367,2024-08-02 03:02:37.609226,shipped,312.65,August,Friday,2024-08,2024-08,0,B2C (Regular),Gast_Bestellung
O00000102,U000795,2024-08-12 10:45:05.387227,processing,544.65,August,Monday,2024-08,2024-08,0,B2C (Regular),Überlegender Käufer
O00000104,U007392,2025-01-23 05:17:17.549772,processing,459.63,January,Thursday,2024-06,2025-01,7,B2C (Regular),Überlegender Käufer
O00000105,U008882,2024-08-14 17:59:52.580136,shipped,164.91,August,Wednesday,2024-07,2024-08,1,B2C (Regular),Überlegender Käufer
O00000112,U002203,2024-12-16 09:01:04.736779,shipped,1226.59,December,Monday,2024-02,2024-12,10,B2C (Regular),Überlegender Käufer
O00000114,U002688,2025-03-26 17:33:55.397021,completed,114.08,March,Wednesday,2024-08,2025-03,7,B2C (Regular),Gast_Bestellung
O00000116,U000180,2024-02-29 05:18:07.036596,processing,263.98,February,Thursday,2024-02,2024-02,0,B2C (Regular),Überlegender Käufer
O00000118,U007481,2024-09-26 09:42:37.580130,processing,231.8,September,Thursday,2024-07,2024-09,2,B2C (Regular),Gast_Bestellung
O00000119,U009061,2025-06-25 12:56:53.237744,shipped,71.07,June,Wednesday,2024-03,2025-06,15,B2C (Regular),Überlegender Käufer
O00000121,U001240,2025-05-25 22:08:43.503048,shipped,74.93,May,Sunday,2025-05,2025-05,0,B2C (Regular),Überlegender Käufer
O00000122,U005566,2024-03-09 20:18:10.663939,processing,292.52,March,Saturday,2024-03,2024-03,0,B2C (Regular),Gast_Bestellung
O00000123,U005052,2025-03-24 22:46:09.391960,completed,132.13,March,Monday,2025-03,2025-03,0,B2C (Regular),Gast_Bestellung
O00000124,U006150,2024-02-14 08:42:51.499314,completed,1541.87,February,Wednesday,2024-02,2024-02,0,B2C (Regular),Gast_Bestellung
O00000126,U002931,2025-02-06 00:47:54.354461,processing,840.44,February,Thursday,2024-07,2025-02,7,B2C (Regular),Gast_Bestellung
O00000128,U000975,2024-04-09 03:14:12.596676,shipped,39.0,April,Tuesday,2024-02,2024-04,2,B2C (Regular),Überlegender Käufer
O00000129,U003622,2024-06-30 07:50:34.266928,processing,587.55,June,Sunday,2024-03,2024-06,3,B2C (Regular),Gast_Bestellung
O00000130,U004647,2024-03-02 06:21:44.789216,processing,390.56,March,Saturday,2024-03,2024-03,0,B2C (Regular),Gast_Bestellung
O00000134,U004675,2024-09-04 21:21:09.765156,completed,35.22,September,Wednesday,2024-02,2024-09,7,B2C (Regular),Gast_Bestellung
O00000135,U002302,2025-06-29 16:37:42.016474,shipped,359.64,June,Sunday,2024-09,2025-06,9,B2C (Regular),Gast_Bestellung
O00000137,U001427,2024-01-14 15:42:32.407789,processing,192.38,January,Sunday,2024-01,2024-01,0,B2C (Regular),Gast_Bestellung
O00000141,U009725,2025-08-23 20:54:22.804713,processing,515.89,August,Saturday,2024-08,2025-08,12,B2C (Regular),Gast_Bestellung
O00000143,U000022,2024-09-26 05:12:38.790252,completed,1097.97,September,Thursday,2024-09,2024-09,0,B2C (Regular),Überlegender Käufer
O00000144,U006302,2024-01-20 03:08:16.917912,shipped,71.52,January,Saturday,2024-01,2024-01,0,B2C (Regular),Gast_Bestellung
O00000145,U009282,2024-01-23 13:20:49.368213,shipped,271.52,January,Tuesday,2024-01,2024-01,0,B2C (Regular),Gast_Bestellung
O00000146,U004487,2024-12-16 10:45:18.613487,processing,654.76,December,Monday,2024-11,2024-12,1,B2C (Regular),Gast_Bestellung
O00000147,U002779,2024-07-22 18:51:23.876499,shipped,1854.44,July,Monday,2024-06,2024-07,1,B2B (High Value),Gast_Bestellung
O00000149,U006981,2025-06-06 02:24:19.314449,completed,373.82,June,Friday,2025-06,2025-06,0,B2C (Regular),Überlegender Käufer
O00000151,U006960,2025-01-27 10:09:36.512884,processing,324.71,January,Monday,2024-01,2025-01,12,B2C (Regular),Überlegender Käufer
O00000153,U007261,2025-11-12 10:19:18.301029,shipped,186.2,November,Wednesday,2024-01,2025-11,22,B2C (Regular),Überlegender Käufer
O00000155,U000476,2025-02-25 08:23:55.141299,completed,142.27,February,Tuesday,2025-02,2025-02,0,B2C (Regular),Gast_Bestellung
O00000158,U004476,2025-10-25 14:07:57.652615,shipped,404.45,October,Saturday,2025-10,2025-10,0,B2C (Regular),Überlegender Käufer
O00000159,U004306,2024-04-29 17:41:32.861189,shipped,387.23,April,Monday,2024-04,2024-04,0,B2C (Regular),Gast_Bestellung
O00000160,U006265,2024-04-18 06:28:43.675708,shipped,105.34,April,Thursday,2024-04,2024-04,0,B2C (Regular),Überlegender Käufer
O00000161,U001885,2025-01-14 02:24:04.527330,processing,351.66,January,Tuesday,2025-01,2025-01,0,B2C (Regular),Überlegender Käufer
O00000162,U003794,2025-10-16 06:33:38.458007,completed,4995.83,October,Thursday,2025-10,2025-10,0,B2B (High Value),Überlegender Käufer
O00000163,U004111,2024-03-05 12:12:11.387921,shipped,443.54,March,Tuesday,2024-03,2024-03,0,B2C (Regular),Gast_Bestellung
O00000166,U003599,2024-08-30 07:55:27.386072,completed,184.12,August,Friday,2024-08,2024-08,0,B2C (Regular),Gast_Bestellung
O00000175,U002754,2024-03-12 12:29:05.206064,processing,694.46,March,Tuesday,2024-02,2024-03,1,B2C (Regular),Gast_Bestellung
O00000176,U009063,2024-01-23 00:47:25.781580,completed,566.87,January,Tuesday,2024-01,2024-01,0,B2C (Regular),Gast_Bestellung
O00000177,U002797,2024-01-18 21:25:02.047575,completed,675.6,January,Thursday,2024-01,2024-01,0,B2C (Regular),Gast_Bestellung
O00000179,U000987,2025-06-06 18:53:08.016329,shipped,781.28,June,Friday,2025-06,2025-06,0,B2C (Regular),Überlegender Käufer
O00000181,U006833,2024-06-19 01:56:31.373731,completed,38.58,June,Wednesday,2024-06,2024-06,0,B2C (Regular),Gast_Bestellung
O00000182,U009225,2024-02-11 07:01:39.948315,processing,246.7,February,Sunday,2024-02,2024-02,0,B2C (Regular),Gast_Bestellung
O00000184,U001541,2024-02-19 16:26:39.497201,shipped,125.02,February,Monday,2024-02,2024-02,0,B2C (Regular),Gast_Bestellung
O00000186,U004708,2025-09-14 07:45:42.311675,completed,29.41,September,Sunday,2024-08,2025-09,13,B2C (Regular),Überlegender Käufer
O00000187,U005772,2024-11-02 16:50:08.643813,processing,534.92,November,Saturday,2024-03,2024-11,8,B2C (Regular),Gast_Bestellung
O00000189,U001604,2025-01-14 13:17:03.543675,processing,1184.86,January,Tuesday,2025-01,2025-01,0,B2C (Regular),Überlegender Käufer
O00000190,U007885,2024-04-28 11:06:24.820649,completed,333.28,April,Sunday,2024-04,2024-04,0,B2C (Regular),Überlegender Käufer
O00000192,U009179,2024-07-15 20:29:49.490699,shipped,173.94,July,Monday,2024-07,2024-07,0,B2C (Regular),Gast_Bestellung
O00000193,U006708,2024-11-25 02:18:55.690334,processing,1248.13,November,Monday,2024-03,2024-11,8,B2C (Regular),Gast_Bestellung
O00000195,U001418,2024-06-11 01:39:22.570775,shipped,567.18,June,Tuesday,2024-06,2024-06,0,B2C (Regular),Gast_Bestellung
O00000197,U002348,2024-09-26 19:01:30.040816,shipped,26.54,September,Thursday,2024-09,2024-09,0,B2C (Regular),Gast_Bestellung
O00000199,U004163,2024-03-01 05:40:35.821381,processing,897.79,March,Friday,2024-03,2024-03,0,B2C (Regular),Gast_Bestellung
O00000203,U007282,2024-10-05 14:45:09.753855,processing,232.98,October,Saturday,2024-10,2024-10,0,B2C (Regular),Überlegender Käufer
O00000204,U004810,2025-05-11 07:07:02.676475,completed,3590.85,May,Sunday,2025-05,2025-05,0,B2B (High Value),Überlegender Käufer
O00000205,U006253,2024-10-21 09:55:15.996590,shipped,98.6,October,Monday,2024-05,2024-10,5,B2C (Regular),Überlegender Käufer
O00000206,U008405,2024-11-21 01:44:30.657890,processing,4116.65,November,Thursday,2024-11,2024-11,0,B2B (High Value),Überlegender Käufer
O00000207,U006406,2024-03-13 00:52:11.090716,shipped,173.81,March,Wednesday,2024-03,2024-03,0,B2C (Regular),Gast_Bestellung
O00000208,U008591,2024-09-01 08:23:10.544898,shipped,119.52,September,Sunday,2024-09,2024-09,0,B2C (Regular),Gast_Bestellung
O00000209,U001530,2025-08-28 23:34:00.054556,completed,345.35,August,Thursday,2024-07,2025-08,13,B2C (Regular),Überlegender Käufer
O00000210,U009826,2024-11-18 06:29:19.876357,processing,881.99,November,Monday,2024-11,2024-11,0,B2C (Regular),Überlegender Käufer
O00000211,U006935,2025-10-24 15:19:59.322880,processing,124.95,October,Friday,2024-11,2025-10,11,B2C (Regular),Überlegender Käufer
O00000214,U006699,2025-01-19 10:28:14.776089,completed,156.98,January,Sunday,2024-12,2025-01,1,B2C (Regular),Überlegender Käufer
O00000215,U008741,2024-04-07 01:54:57.230840,shipped,430.41,April,Sunday,2024-04,2024-04,0,B2C (Regular),Gast_Bestellung
O00000216,U008467,2024-03-23 19:57:57.345818,processing,195.45,March,Saturday,2024-03,2024-03,0,B2C (Regular),Gast_Bestellung
O00000219,U005698,2025-10-15 16:31:30.670581,processing,1826.06,October,Wednesday,2024-03,2025-10,19,B2B (High Value),Überlegender Käufer
O00000222,U008552,2024-08-11 14:58:40.263606,completed,119.3,August,Sunday,2024-07,2024-08,1,B2C (Regular),Gast_Bestellung
O00000223,U008192,2024-08-03 01:38:57.007488,completed,151.5,August,Saturday,2024-07,2024-08,1,B2C (Regular),Gast_Bestellung
O00000224,U006811,2025-11-09 03:05:36.297999,completed,160.9,November,Sunday,2024-11,2025-11,12,B2C (Regular),Überlegender Käufer
O00000225,U007753,2024-02-28 05:02:17.956970,completed,20.93,February,Wednesday,2024-02,2024-02,0,B2C (Regular),Gast_Bestellung
O00000228,U004618,2024-04-25 09:38:32.133515,shipped,132.71,April,Thursday,2024-04,2024-04,0,B2C (Regular),Gast_Bestellung
O00000229,U006051,2025-09-28 17:05:31.553800,processing,96.44,September,Sunday,2024-10,2025-09,11,B2C (Regular),Überlegender Käufer
O00000230,U003349,2024-06-17 05:45:15.131192,shipped,73.31,June,Monday,2024-06,2024-06,0,B2C (Regular),Gast_Bestellung
O00000232,U003029,2024-11-18 22:51:17.004174,processing,120.02,November,Monday,2024-07,2024-11,4,B2C (Regular),Sofort-Kauf
O00000236,U000687,2024-03-19 13:36:09.745666,processing,5.35,March,Tuesday,2024-03,2024-03,0,B2C (Regular),Gast_Bestellung
O00000238,U009131,2024-03-01 00:28:55.388572,completed,17.65,March,Friday,2024-03,2024-03,0,B2C (Regular),Gast_Bestellung
O00000239,U007463,2025-10-10 06:34:49.340977,completed,74.06,October,Friday,2025-10,2025-10,0,B2C (Regular),Überlegender Käufer
O00000240,U005718,2024-05-31 13:33:38.381596,completed,1145.95,May,Friday,2024-05,2024-05,0,B2C (Regular),Überlegender Käufer
O00000241,U000462,2025-09-01 01:33:51.177241,processing,226.31,September,Monday,2025-08,2025-09,1,B2C (Regular),Überlegender Käufer
O00000242,U002722,2024-04-20 09:31:55.115983,completed,446.69,April,Saturday,2024-01,2024-04,3,B2C (Regular),Überlegender Käufer
O00000243,U004073,2024-05-26 06:32:52.162739,processing,62.47,May,Sunday,2024-05,2024-05,0,B2C (Regular),Gast_Bestellung
O00000244,U009876,2025-02-26 16:05:54.896086,processing,183.45,February,Wednesday,2024-05,2025-02,9,B2C (Regular),Überlegender Käufer
O00000245,U003047,2025-11-14 03:22:47.724560,processing,92.24,November,Friday,2024-05,2025-11,18,B2C (Regular),Überlegender Käufer
O00000246,U004293,2024-05-18 17:11:20.747873,shipped,89.14,May,Saturday,2024-05,2024-05,0,B2C (Regular),Gast_Bestellung
O00000247,U002631,2024-03-09 18:55:55.012291,processing,533.01,March,Saturday,2024-03,2024-03,0,B2C (Regular),Gast_Bestellung
O00000248,U007067,2024-12-01 17:11:52.066476,processing,350.41,December,Sunday,2024-12,2024-12,0,B2C (Regular),Überlegender Käufer
O00000249,U002832,2025-06-21 14:34:28.933948,completed,346.41,June,Saturday,2025-06,2025-06,0,B2C (Regular),Überlegender Käufer
O00000252,U003348,2024-08-25 04:23:39.681734,processing,1073.36,August,Sunday,2024-08,2024-08,0,B2C (Regular),Gast_Bestellung
O00000255,U003862,2024-05-22 12:28:39.561345,shipped,1042.0,May,Wednesday,2024-05,2024-05,0,B2C (Regular),Gast_Bestellung
O00000258,U007831,2025-01-25 22:52:15.042976,processing,759.4,January,Saturday,2024-04,2025-01,9,B2C (Regular),Gast_Bestellung
O00000260,U003912,2024-06-20 01:10:06.757346,processing,83.16,June,Thursday,2024-06,2024-06,0,B2C (Regular),Gast_Bestellung
O00000261,U004977,2025-04-25 16:35:37.006186,completed,1144.05,April,Friday,2024-05,2025-04,11,B2C (Regular),Überlegender Käufer
O00000262,U009315,2024-05-20 10:32:03.780732,completed,538.63,May,Monday,2024-05,2024-05,0,B2C (Regular),Überlegender Käufer
O00000263,U009534,2024-10-12 17:40:35.371888,completed,20.77,October,Saturday,2024-10,2024-10,0,B2C (Regular),Gast_Bestellung
O00000265,U007023,2024-04-25 16:31:19.603179,shipped,43.46,April,Thursday,2024-04,2024-04,0,B2C (Regular),Gast_Bestellung
O00000266,U008502,2024-03-10 16:51:05.690910,completed,272.57,March,Sunday,2024-03,2024-03,0,B2C (Regular),Gast_Bestellung
O00000269,U007667,2024-09-27 08:51:53.315951,shipped,205.38,September,Friday,2024-09,2024-09,0,B2C (Regular),Überlegender Käufer
O00000271,U003973,2024-06-02 05:34:54.842962,shipped,357.98,June,Sunday,2024-06,2024-06,0,B2C (Regular),Gast_Bestellung
O00000272,U005269,2024-05-04 17:33:24.226993,completed,3930.26,May,Saturday,2024-01,2024-05,4,B2B (High Value),Überlegender Käufer
O00000273,U007453,2025-03-04 11:21:54.409457,completed,163.08,March,Tuesday,2024-10,2025-03,5,B2C (Regular),Überlegender Käufer
O00000274,U003564,2024-05-26 21:25:33.666370,shipped,465.6,May,Sunday,2024-05,2024-05,0,B2C (Regular),Gast_Bestellung
O00000277,U005096,2024-04-27 23:42:33.172616,shipped,782.18,April,Saturday,2024-04,2024-04,0,B2C (Regular),Gast_Bestellung
O00000283,U005554,2025-10-14 20:06:42.088161,shipped,390.19,October,Tuesday,2024-05,2025-10,17,B2C (Regular),Überlegender Käufer
O00000285,U000610,2025-01-23 03:08:27.581446,completed,258.51,January,Thursday,2024-08,2025-01,5,B2C (Regular),Gast_Bestellung
O00000287,U007587,2024-06-11 22:58:04.856345,completed,67.27,June,Tuesday,2024-06,2024-06,0,B2C (Regular),Überlegender Käufer
O00000291,U007858,2024-02-03 20:54:23.936079,shipped,778.39,February,Saturday,2024-02,2024-02,0,B2C (Regular),Gast_Bestellung
O00000292,U007310,2025-02-18 10:35:31.322790,processing,581.24,February,Tuesday,2024-07,2025-02,7,B2C (Regular),Gast_Bestellung
O00000296,U002847,2025-04-04 21:00:50.021567,processing,200.12,April,Friday,2024-03,2025-04,13,B2C (Regular),Überlegender Käufer
O00000298,U009474,2024-02-28 07:20:10.886509,completed,346.68,February,Wednesday,2024-02,2024-02,0,B2C (Regular),Gast_Bestellung
O00000299,U007773,2025-02-01 00:23:58.571868,shipped,101.71,February,Saturday,2025-02,2025-02,0,B2C (Regular),Gast_Bestellung
O00000300,U001813,2025-04-15 23:27:29.482907,completed,23.54,April,Tuesday,2024-10,2025-04,6,B2C (Regular),Gast_Bestellung
O00000301,U002528,2025-08-31 22:26:07.857547,shipped,1522.12,August,Sunday,2025-08,2025-08,0,B2C (Regular),Überlegender Käufer
O00000306,U002575,2025-06-24 10:05:15.231238,shipped,756.87,June,Tuesday,2025-01,2025-06,5,B2C (Regular),Überlegender Käufer
O00000307,U000083,2025-06-02 21:36:23.060003,shipped,2204.17,June,Monday,2024-11,2025-06,7,B2B (High Value),Überlegender Käufer
O00000308,U006604,2024-10-03 05:35:54.061157,completed,3.57,October,Thursday,2024-01,2024-10,9,B2C (Regular),Gast_Bestellung
O00000309,U005284,2024-11-29 09:22:23.141336,processing,837.81,November,Friday,2024-03,2024-11,8,B2C (Regular),Überlegender Käufer
O00000312,U003472,2024-03-16 18:58:47.120510,shipped,1113.78,March,Saturday,2024-03,2024-03,0,B2C (Regular),Überlegender Käufer
O00000313,U001204,2024-07-04 06:55:05.894885,completed,313.65,July,Thursday,2024-06,2024-07,1,B2C (Regular),Überlegender Käufer
O00000314,U005797,2025-02-19 10:11:14.823627,completed,54.83,February,Wednesday,2025-02,2025-02,0,B2C (Regular),Überlegender Käufer
O00000315,U001315,2024-08-22 05:28:13.210013,shipped,633.59,August,Thursday,2024-08,2024-08,0,B2C (Regular),Gast_Bestellung
O00000316,U000494,2025-03-02 13:48:49.062649,completed,2460.43,March,Sunday,2025-03,2025-03,0,B2B (High Value),Überlegender Käufer
O00000318,U008822,2024-11-09 14:10:49.490772,processing,180.25,November,Saturday,2024-11,2024-11,0,B2C (Regular),Überlegender Käufer
O00000319,U000068,2025-08-08 18:30:15.481970,processing,366.84,August,Friday,2024-12,2025-08,8,B2C (Regular),Überlegender Käufer
O00000320,U001309,2024-05-31 06:17:45.957767,completed,438.46,May,Friday,2024-04,2024-05,1,B2C (Regular),Überlegender Käufer
O00000321,U006255,2024-05-22 03:29:56.062081,completed,160.19,May,Wednesday,2024-03,2024-05,2,B2C (Regular),Gast_Bestellung
O00000322,U002806,2024-10-31 16:29:35.497031,shipped,133.04,October,Thursday,2024-10,2024-10,0,B2C (Regular),Gast_Bestellung
O00000323,U006255,2025-04-09 18:25:16.792391,processing,917.02,April,Wednesday,2024-03,2025-04,13,B2C (Regular),Überlegender Käufer
O00000325,U009808,2024-05-29 15:33:18.961576,completed,9.1,May,Wednesday,2024-05,2024-05,0,B2C (Regular),Überlegender Käufer
O00000326,U006017,2024-04-22 21:05:27.238155,shipped,543.39,April,Monday,2024-04,2024-04,0,B2C (Regular),Gast_Bestellung
O00000330,U005772,2024-03-24 02:49:15.159121,completed,145.17,March,Sunday,2024-03,2024-03,0,B2C (Regular),Gast_Bestellung
O00000332,U006577,2025-09-09 14:35:48.520681,completed,271.18,September,Tuesday,2024-12,2025-09,9,B2C (Regular),Überlegender Käufer
O00000334,U001482,2024-03-21 11:32:18.478262,completed,119.1,March,Thursday,2024-03,2024-03,0,B2C (Regular),Gast_Bestellung
O00000338,U007476,2024-01-07 13:51:40.563450,completed,377.51,January,Sunday,2024-01,2024-01,0,B2C (Regular),Gast_Bestellung
O00000339,U009267,2025-08-05 08:37:58.086145,shipped,26.76,August,Tuesday,2024-12,2025-08,8,B2C (Regular),Gast_Bestellung
O00000341,U009830,2024-05-02 20:46:47.163322,shipped,1539.96,May,Thursday,2024-05,2024-05,0,B2C (Regular),Gast_Bestellung
O00000342,U009497,2025-04-30 02:11:30.564543,completed,1656.18,April,Wednesday,2024-02,2025-04,14,B2C (Regular),Überlegender Käufer
